ticker,publish_date,period_end,EPSDiluted,StockholdersEquity,AvgDilutedSharesOutstanding,Revenue,CommonStockDividendsPerShare
JPM,2018-02-27,2017-12-31,6.31,255693000000,3576800000,95415000000,2.12
JPM,2018-02-27,2017-12-31,1.09,255693000000,3518200000,23149000000,0.56
JPM,2017-11-01,2017-09-30,1.76,258382000000,3559600000,24126000000,0.56
JPM,2017-08-02,2017-06-30,1.82,258483000000,3599000000,24516000000,0.5
JPM,2017-05-02,2017-03-31,1.65,255863000000,3630400000,23624000000,0.5
JPM,2017-02-28,2016-12-31,6.19,254190000000,3690000000,91208000000,1.88
JPM,2017-02-28,2016-12-31,1.71,254190000000,3646400000,23413000000,0.48
META,2025-07-31,2025-06-30,7.14,195070000000,2570000000,47516000000,0.525
META,2025-05-01,2025-03-31,6.43,185029000000,2590000000,42314000000,0.525
META,2025-01-30,2024-12-31,23.86,182637000000,2614000000,164501000000,2
META,2025-01-30,2024-12-31,7.98,182637000000,2621000000,48385000000,0.5
META,2024-10-31,2024-09-30,6.03,164529000000,2600000000,40589000000,0.5
META,2024-08-01,2024-06-30,5.16,156763000000,2610000000,39071000000,0.5
META,2024-04-25,2024-03-31,4.71,149529000000,2625000000,36455000000,NA
META,2024-02-02,2023-12-31,14.87,153168000000,2629000000,134902000000,NA
META,2024-02-02,2023-12-31,5.31,153168000000,2667000000,40111000000,NA
META,2023-10-26,2023-09-30,4.39,142873000000,2641000000,34146000000,NA
META,2023-07-27,2023-06-30,2.98,134033000000,2612000000,31999000000,NA
META,2023-04-27,2023-03-31,2.2,124795000000,2596000000,28645000000,NA
META,2023-02-02,2022-12-31,8.59,125713000000,2702000000,116609000000,NA
META,2023-02-02,2022-12-31,1.77,125713000000,2666000000,32165000000,NA
META,2022-10-27,2022-09-30,1.64,124094000000,2687000000,27714000000,NA
META,2022-07-28,2022-06-30,2.46,125767000000,2713000000,28822000000,NA
META,2022-04-28,2022-03-31,2.72,123228000000,2742000000,27908000000,NA
